Title,Subject,URLS,Reason,Paywalled,Notes
Designing an ASR Corpus for the Albanian Language,(B/T) Data Science;(SOC) Linguistics;,,Error by Journal/Publisher;,No,
Machine Learning Analysis of Oxidative Stress-Related Phenotypes for Specific Gene Screening in Ovarian Cancer,(B/T) Data Science;(BLS) Biology - Cancer;(BLS) Genetics;,,Concerns/Issues About Authorship/Affiliation;Investigation by Journal/Publisher;,No,
Hybrid CNN-LSTM model with efficient hyperparameter tuning for prediction of Parkinson's disease,(B/T) Data Science;(B/T) Technology;(HSC) Medicine - Neurology;,,Error in Text;Updated to Retraction;,No,See also: https://pubpeer.com/publications/BE2E334302A3B028B84D49A35C44B1
Hybrid wavelet/Elman NN model for short term cost prediction utilizing developed deer hunting optimizer,(B/T) Business - Economics;(B/T) Data Science;(B/T) Technology;,https://retractionwatch.com/?s=Heliyon,Author Unresponsive;Concerns/Issues about Referencing/Attributions;Investigation by Journal/Publisher;,No,
Simulation model of energy exchange in an intelligent decision-making system based on a multi-agent neurocognitive architecture,(B/T) Computer Science;(B/T) Data Science;(B/T) Technology;,,Concerns/Issues about Article;Concerns/Issues about Referencing/Attributions;Investigation by Company/Institution;,No,
Search query as a methodological indicator of new pedagogical conceptualizations (on the example of hip-pedagogy),(B/T) Computer Science;(B/T) Data Science;(SOC) Education;,,Concerns/Issues about Article;Concerns/Issues about Referencing/Attributions;Investigation by Company/Institution;,No,
Intelligenсe architectonics methodology: international language training of students,(B/T) Computer Science;(B/T) Data Science;(B/T) Technology;(SOC) Education;,,Concerns/Issues about Article;Concerns/Issues about Referencing/Attributions;Investigation by Company/Institution;,No,
Intelligent methods for impartial and objective evaluation of a course project,(B/T) Computer Science;(B/T) Data Science;(B/T) Technology;(SOC) Education;,,Concerns/Issues about Article;Concerns/Issues about Referencing/Attributions;Investigation by Company/Institution;,No,
Emotion recognition and classification based on audio data using AI,(B/T) Data Science;(SOC) Psychology;,,Concerns/Issues about Article;Concerns/Issues about Referencing/Attributions;Investigation by Company/Institution;,No,
Clustering Z-information based on a system of fuzzy reference requirements,(B/T) Data Science;(PHY) Mathematics;,,Concerns/Issues about Article;Concerns/Issues about Referencing/Attributions;Investigation by Company/Institution;,No,
Algorithm and software tools for optimizing the preparation of routes on high-speed lines based on RFID technology,(B/T) Computer Science;(B/T) Data Science;(B/T) Government;(B/T) Technology;(B/T) Transportation;(B/T) Urban Planning;,,Concerns/Issues about Article;Concerns/Issues about Referencing/Attributions;Investigation by Company/Institution;,No,
A mathematical model of the operation process of a radio communication network based on IP technologies in the conditions of information impact during the transmission of a non-repetitive data stream,(B/T) Computer Science;(B/T) Data Science;(PHY) Mathematics;(SOC) Communications;,,Concerns/Issues about Article;Concerns/Issues about Referencing/Attributions;Investigation by Company/Institution;,No,
The role of clustering algorithm-based big data processing in information economy development,(B/T) Business - Economics;(B/T) Computer Science;(B/T) Data Science;,,Concerns/Issues about Results and/or Conclusions;Concerns/Issues with Peer Review;,No,
Efficient lung cancer detection using computational intelligence and ensemble learning,(B/T) Data Science;(HSC) Medicine - Oncology;(HSC) Medicine - Pulmonology;,,Cites Retracted Work;Objections by Author(s);,No,
Analysis of logistics port transportation efficiency evaluation based on the block chain technology,(B/T) Business - General;(B/T) Data Science;(B/T) Technology;(B/T) Transportation;(PHY) Mathematics;,https://retractionwatch.com/2024/07/01/we-authors-paid-a-heavy-price-journal-retracts-all-23-articles-in-special-issue/,Error in Text;Updated to Retraction;,No,
Advanced lightweight feature interaction in deep neural networks for improving the prediction in click through rate,(B/T) Business - Marketing;(B/T) Computer Science;(B/T) Data Science;,https://retractionwatch.com/2024/07/01/we-authors-paid-a-heavy-price-journal-retracts-all-23-articles-in-special-issue/,Concerns/Issues about Article;Error in Text;Updated to Retraction;Upgrade/Update of Prior Notice(s);,No,
Harnessing the power of AI: Advanced deep learning models optimization for accurate SARS-CoV-2 forecasting,(B/T) Data Science;(HSC) Biostatistics/Epidemiology;(HSC) Medicine - Infectious Disease;(HSC) Public Health and Safety;,https://retractionwatch.com/retracted-coronavirus-covid-19-papers/,Error in Text;Updated to Retraction;,No,
Research on a distributed auto-negotiation model based on Stackelberg game theory,(B/T) Business - Accounting;(B/T) Business - Economics;(B/T) Business - General;(B/T) Computer Science;(B/T) Data Science;,,Duplication of/in Article;Euphemisms for Duplication;,No,
Diagnosis and combating COVID-19 using wearable Oura smart ring with deep learning methods,(B/T) Data Science;(B/T) Technology;(HSC) Medicine - Infectious Disease;,https://retractionwatch.com/retracted-coronavirus-covid-19-papers/,Error in Text;Updated to Retraction;,No,
Development and evaluation of rapid data-enabled access to routine clinical information to enhance early recruitment to the national clinical platform trial of COVID-19 community treatments,(B/T) Data Science;(HSC) Medicine - Infectious Disease;(HSC) Public Health and Safety;,https://retractionwatch.com/retracted-coronavirus-covid-19-papers/,Error in Text;Updated to Retraction;,No,
The Innovation of Mongolian Folk Song Music Cultural Inheritance Path Based on Intelligent Computing Analysis of Communication Big Data,(B/T) Data Science;(B/T) Technology;(HUM) Arts - Music;(SOC) Sociology;,,Concerns/Issues About Authorship/Affiliation;Lack of Approval from Author;Updated to Retraction;,No,See also: https://pubpeer.com/publications/99D9E7007C4BCCE65668A7E2205F0F
A comparative study on Chinese open domain suggestion mining,(B/T) Computer Science;(B/T) Data Science;(B/T) Government;,https://retractionwatch.com/2024/08/23/exclusive-publisher-retracts-more-than-450-papers-from-journal-it-acquired-last-year/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;,No,
A comparative study of syllables and character level N-grams for Dravidian multi-script and code-mixed offensive language identification,(B/T) Computer Science;(B/T) Data Science;,https://retractionwatch.com/2024/08/23/exclusive-publisher-retracts-more-than-450-papers-from-journal-it-acquired-last-year/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;,No,
A combined deep CNN with a chimp optimization approach for lung cancer diagnosis,(B/T) Computer Science;(B/T) Data Science;(BLS) Biology - Cancer;,https://retractionwatch.com/2024/08/23/exclusive-publisher-retracts-more-than-450-papers-from-journal-it-acquired-last-year/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;,No,
A collaborative filtering method by fusion of facial information features,(B/T) Computer Science;(B/T) Data Science;,https://retractionwatch.com/2024/08/23/exclusive-publisher-retracts-more-than-450-papers-from-journal-it-acquired-last-year/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;,No,
3D path planning in threat environment based on fuzzy logic,(B/T) Computer Science;(B/T) Data Science;,https://retractionwatch.com/2024/08/23/exclusive-publisher-retracts-more-than-450-papers-from-journal-it-acquired-last-year/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;,No,
Removing blurring for better understanding the main challenges facing digital entrepreneurs in the digital era: An empirical investigation study from emerging country,(B/T) Business - General;(B/T) Data Science;,,Duplication of/in Article;Euphemisms for Duplication;Investigation by Journal/Publisher;,No,
Information of the coma recovery scale-revised that mostly contributes to predict recovery of consciousness. A machine learning analysis,(B/T) Computer Science;(B/T) Data Science;(HSC) Medicine - Neurology;(HSC) Medicine - Rehabilitation/Therapy;,,Duplication of Content through Error by Journal/Publisher;,No,
Development of an automated pipeline for the analysis of [18 F]FDG-PET images in disorders of consciousness,(B/T) Data Science;(B/T) Technology;(HSC) Medicine - Neurology;(HSC) Radiology/Imaging;,,Duplication of Content through Error by Journal/Publisher;,No,
Using machine learning to improve anaphylaxis case identification in medical claims data,(B/T) Business - General;(B/T) Data Science;(HSC) Medicine - General;,,Error by Journal/Publisher;Retract and Replace;,No,see https://academic.oup.com/jamiaopen/article/7/2/ooae037/7696640;
Prediction of Post-Concussive Dimensional PTSD Symptoms Using Multimodal Neuroimaging: A Machine Learning Study,(B/T) Data Science;(HSC) Medicine - Neurology;(HSC) Radiology/Imaging;(SOC) Psychology;,,Duplication of Content through Error by Journal/Publisher;,No,
A Perception Study for Unit Charts in the Context of Large-Magnitude Data Representation,(B/T) Data Science;(SOC) Communications;,,Error in Text;Updated to Retraction;,No,see also; https://pubpeer.com/publications/8838404331E45D84736345C001FCC0
On-line system identification of complex systems using Chebyshev neural networks,(B/T) Computer Science;(B/T) Data Science;(PHY) Mathematics;,,Duplication of/in Article;Euphemisms for Duplication;,No,
Evaluation Mechanism of Teaching Staff’s Building in Local Vocational Colleges Based on Big Data Technology,(B/T) Data Science;(SOC) Education;,,Error in Methods;Objections by Third Party;,No,
Stability analysis of supply chain in evolutionary game based on stability theory of nonlinear differential equation,(B/T) Business - General;(B/T) Computer Science;(B/T) Data Science;(PHY) Mathematics;,,Concerns/Issues About Authorship/Affiliation;False/Forged Affiliation;,No,
"NeuroSuites: An online platform for running neuroscience, statistical, and machine learning tools",(B/T) Data Science;(B/T) Technology;(BLS) Neuroscience;,,Investigation by Journal/Publisher;Legal Reasons and/or Threats;,No,
An integrated 3D model based face recognition method using synthesized facial expressions and poses for single image applications,(B/T) Data Science;(B/T) Technology;,https://retractionwatch.com/2024/01/26/springer-nature-journal-pulls-nearly-three-dozen-papers-from-special-issues/,Error in Text;Updated to Retraction;,No,See also: https://pubpeer.com/publications/BCC4E85932E04B1D6B27B9CE8CA366
Predicting chorioamnionitis using AI-based methods: a retrospective cohort study,(B/T) Data Science;(HSC) Medicine - Obstetrics/Gynecology;,,Concerns/Issues about Results and/or Conclusions;Date of Article and/or Notice Unknown;,No,"date of retraction unknown, html page overwrite; Abstract #60;"
Graphical representation of network meta-analysis: an iconographic support to the complexity of multiple data comparisons,(B/T) Computer Science;(B/T) Data Science;,https://retractionwatch.com/2025/08/18/cardiology-researcher-in-italy-up-to-17-retractions-most-for-duplication/,Duplication of/in Image;Euphemisms for Duplication;,No,
Prediction of small-scale piles by considering lateral deflection based on Elman Neural Network - Improved Arithmetic Optimizer algorithm,(B/T) Computer Science;(B/T) Data Science;(PHY) Geology;(PHY) Mathematics;,https://retractionwatch.com/?s=Dragan+Rodriguez,Concerns/Issues About Authorship/Affiliation;False/Forged Affiliation;False/Forged Authorship;,No,see also: https://pubpeer.com/publications/0A2B552833593E8AA9D37B5708E934
Artificial intelligence with robotics for advanced manufacturing industry using robot-assisted mixed-integer programming model,(B/T) Business - Management;(B/T) Data Science;(B/T) Technology;,,Error in Text;Updated to Retraction;,No,
Network meta-analysis: a new analysis tool of the experimental evidence,(B/T) Data Science;(BLS) Biology - General;(HSC) Medicine - General;,https://retractionwatch.com/2025/08/18/cardiology-researcher-in-italy-up-to-17-retractions-most-for-duplication/,Duplication of/in Article;Euphemisms for Duplication;,No,
Social Recommendation System Based on Hypergraph Attention Network,(B/T) Data Science;(B/T) Technology;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/;https://retractionwatch.com/2023/04/05/wiley-and-hindawi-to-retract-1200-more-papers-for-compromised-peer-review/,Concerns/Issues about Referencing/Attributions;Error in Text;Updated to Retraction;,No,
Deployment optimization of multi-stage investment portfolio service and hybrid intelligent algorithm under edge computing,(B/T) Business - Accounting;(B/T) Computer Science;(B/T) Data Science;,,Concerns/Issues with Peer Review;Duplication of/in Article;Euphemisms for Duplication;,No,
Skin cancer diagnosis based on a hybrid AlexNet/extreme learning machine optimized by Fractional-order Red Fox Optimization algorithm,(B/T) Data Science;(HSC) Medicine - Dermatology;(HSC) Medicine - Oncology;,,Author Unresponsive;Concerns/Issues About Authorship/Affiliation;Concerns/Issues about Third Party Involvement;False/Forged Affiliation;,No,
A mean-robustness stochastic programming model for p-hub median problem,(B/T) Data Science;(PHY) Statistics;,https://retractionwatch.com/2023/11/02/sage-retracts-more-than-200-papers-from-journal-for-compromised-peer-review/,Concerns/Issues about Third Party Involvement;Investigation by Journal/Publisher;Upgrade/Update of Prior Notice(s);,No,
Optimization of diosgenin extraction from Dioscorea deltoidea tubers using response surface methodology and artificial neural network modelling,(B/T) Data Science;(B/T) Technology;(BLS) Biology - Cellular;(BLS) Plant Biology/Botany;,,Concerns/Issues About Image;Concerns/Issues with Peer Review;Conflict of Interest;Duplication of/in Image;Error in Image;Euphemisms for Duplication;,No,
Clinical Value of Predicting Individual Treatment Effects for Intensive Blood Pressure Therapy: A Machine Learning Experiment to Estimate Treatment Effects from Randomized Trial Data,(B/T) Data Science;(HSC) Medicine - Cardiovascular;,,Error in Analyses;Error in Results and/or Conclusions;,No,
"In-silico modelling studies of 5-benzyl-4-thiazolinone derivatives as influenza neuraminidase inhibitors via 2D-QSAR, 3D-QSAR, molecular docking, and ADMET predictions",(B/T) Data Science;(BLS) Biochemistry;(BLS) Biology - Molecular;(HSC) Medicine - Infectious Disease;,,Copyright Claims;Lack of Approval from Third Party;,No,
Prediction of gestational diabetes based on explainable deep learning and fog computing,(B/T) Data Science;(HSC) Medicine - Diabetes;(HSC) Medicine - Obstetrics/Gynecology;,,Duplication of/in Article;Euphemisms for Duplication;,No,
Intelligent scaling for 6G IoE services for resource provisioning,(B/T) Computer Science;(B/T) Data Science;,,Investigation by Journal/Publisher;Updated to Retraction;,No,
Projection data smoothing through noise-level weighted total variation regularization for low-dose computed tomography,(B/T) Computer Science;(B/T) Data Science;(HSC) Radiology/Imaging;,,Duplication of Content through Error by Journal/Publisher;,No,
An Intelligent Security Classification Model of Driver’s Driving Behavior Based on V2X in IoT Networks,(B/T) Data Science;(B/T) Technology;(B/T) Transportation;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;Objections by Author(s);,No,
Art Research Based on Machine Learning and Artificial Intelligence,(B/T) Data Science;(HUM) Arts - General;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;Objections by Author(s);,No,
Study on AI Audit Mode in the Background of Machine Learning and Internet of Things,(B/T) Data Science;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;,No,
An Intelligent Assessment Method of English Teaching Ability Based on Improved Machine Learning Algorithm,(B/T) Data Science;(SOC) Education;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;,No,
Prognostic significance of neutrophil-to-lymphocyte ratio in diffuse large B-cell lymphoma: A meta-analysis,(B/T) Data Science;(BLS) Biology - Cellular;(HSC) Medicine - Oncology;,,Author Unresponsive;Concerns/Issues about Results and/or Conclusions;,No,
Early Detection of Medical Image Analysis by Using Machine Learning Method,(B/T) Data Science;(HSC) Radiology/Imaging;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/,Error in Image;Updated to Retraction;,No,
Exploring the MIT Mathematics and EECS Curriculum Using Large Language Models,(B/T) Computer Science;(B/T) Data Science;(SOC) Education;,,Lack of Approval from Company/Institution;Lack of Approval from Third Party;Removed;,No,see also: https://www.chronicle.com/article/a-study-found-that-ai-could-ace-mit-three-mit-students-beg-to-differ
Prognostic value of programmed cell death ligand 1 expression in patients with head and neck cancer: A systematic review and meta-analysis,(B/T) Data Science;(BLS) Biology - Cancer;(HSC) Medicine - Oncology;,,Author Unresponsive;Concerns/Issues about Results and/or Conclusions;,No,
Low-dose chest CT for diagnosing and assessing the extent of lung involvement of SARS-CoV-2 pneumonia using a semi quantitative score,(B/T) Data Science;(HSC) Medicine - Pulmonology;(HSC) Radiology/Imaging;,https://retractionwatch.com/2022/12/13/plos-flags-nearly-50-papers-by-controversial-french-covid-researcher-for-ethics-concerns/;https://retractionwatch.com/?s=Didier+Raoult,Investigation by Journal/Publisher;,No,
Network Security Awareness Modeling Based on Data Mining Method,(B/T) Computer Science;(B/T) Data Science;(B/T) Technology;,,Duplication of/in Article;Euphemisms for Duplication;,No,
Robust Training of Feedforward Neural Networks Using Combined Online/Batch Quasi-Newton Techniques,(B/T) Computer Science;(B/T) Data Science;,,Date of Article and/or Notice Unknown;Duplication of/in Article;Euphemisms for Duplication;,No,
"Alcohol-Related Risk of Suicidal Ideation, Suicide Attempt, and Completed Suicide: A Meta-Analysis",(B/T) Data Science;(SOC) Psychology;,,Concerns/Issues about Results and/or Conclusions;,No,
Data Mining and Visualization of Forest Cover Type Data Using SAS Enterprise Miner,(B/T) Data Science;(ENV) Ecology;,,Concerns/Issues about Referencing/Attributions;Date of Article and/or Notice Unknown;Duplication of/in Article;Euphemisms for Duplication;Investigation by Journal/Publisher;,No,
Molecular Diagnostic and Using Deep Learning Techniques for Predict Functional Recovery of Patients Treated of Cardiovascular Disease,(B/T) Data Science;(BLS) Biology - Molecular;(HSC) Medicine - Cardiovascular;,,Concerns/Issues About Authorship/Affiliation;Date of Article and/or Notice Unknown;Investigation by Journal/Publisher;,No,
A hybrid feature selection algorithm for microarray data,(B/T) Computer Science;(B/T) Data Science;(BLS) Genetics;,,Error in Methods;,No,
Iterative noise attenuation and deconvolution with a sparse constraint,(B/T) Data Science;(PHY) Geology;(PHY) Mathematics;,,Concerns/Issues About Authorship/Affiliation;Salami Slicing;Upgrade/Update of Prior Notice(s);,No,
Iterative noise attenuation and deconvolution with a sparse constraint,(B/T) Data Science;(PHY) Geology;(PHY) Mathematics;,,Investigation by Journal/Publisher;Salami Slicing;Updated to Retraction;,No,
Traffic prediction and transmission scheduling of artificial intelligence-driven cognitive wireless networks,(B/T) Data Science;(B/T) Technology;(B/T) Transportation;(B/T) Urban Planning;,,Error by Journal/Publisher;,No,
Direct anterior approach (DAA) vs. conventional approaches in total hip arthroplasty: A RCT meta-analysis with an overview of related meta-analyses,(B/T) Data Science;(HSC) Medicine - Orthopedics;,,Duplication of/in Article;,No,
Machine learning of neural representations of suicide and emotion concepts identifies suicidal youth,(B/T) Computer Science;(B/T) Data Science;(SOC) Psychology;,https://retractionwatch.com/2023/04/06/high-profile-paper-that-used-ai-to-identify-suicide-risk-from-brain-scans-retracted-for-flawed-methods/;https://retractionwatch.com/2023/06/09/how-a-now-retracted-study-got-published-in-the-first-place-leading-to-a-3-8-million-nih-grant/,Error in Methods;Error in Results and/or Conclusions;,No,see also: https://www.nature.com/articles/s41562-023-01560-6 and https://www.nature.com/articles/s41562-021-01085-w
MFCC-Based Feature Extraction Model for Long Time Period Emotion Speech Using CNN,(B/T) Data Science;(PHY) Mathematics;(SOC) Linguistics;,,Notice - Lack of;,No,
Pre-screening Textual Based Evaluation for the Diagnosed Female Breast Cancer (WBC),(B/T) Data Science;(HSC) Medicine - Oncology;,,Notice - Lack of;,No,
Oxidative Stress and Inflammation in First-Episode Psychosis: A Systematic Review and Meta-analysis,(B/T) Data Science;(HSC) Medicine - Psychiatry;(SOC) Psychology;,,Error by Journal/Publisher;,No,
Application of Deep Neural Network Model Combined with Factor Analysis in Clinical Nursing Effect Analysis of Blood Glucose Level in Elderly Type 2 Diabetic Patients,(B/T) Data Science;(HSC) Medicine - Diabetes;(HSC) Medicine - Geriatric;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/;https://retractionwatch.com/2023/04/05/wiley-and-hindawi-to-retract-1200-more-papers-for-compromised-peer-review/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;,No,
The Application of DOMS Mechanism and Prevention in Physical Education and Training,(B/T) Data Science;(HSC) Medicine - Sports;(HSC) Sports Science;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/;https://retractionwatch.com/2023/04/05/wiley-and-hindawi-to-retract-1200-more-papers-for-compromised-peer-review/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;,No,
Nomogram to Predict Overall and Cancer-Specific Survival in Patients with Synovial Sarcoma in the Extremities: A Population-Based Study,(B/T) Data Science;(HSC) Biostatistics/Epidemiology;(HSC) Medicine - Oncology;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;Objections by Author(s);,No,
Design of Financial Risk Control Model Based on Deep Learning Neural Network,(B/T) Business - Economics;(B/T) Data Science;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;,No,
