Title,Subject,URLS
APT: Adaptive Pruning and Tuning Pretrained Language Models for Efficient Training and Inference, ML, https://arxiv.org/pdf/2401.12200
All-in-one simulation-based inference, ML, https://arxiv.org/pdf/2404.09636
Batch and match: black-box variational inference with a score-based divergence, ML, https://arxiv.org/pdf/2402.14758
Unsupervised Zero-Shot Reinforcement Learning via Functional Reward Encodings, ML, https://arxiv.org/pdf/2402.17135
Fine-tuning Reinforcement Learning Models is Secretly a Forgetting Mitigation Problem, ML, https://arxiv.org/pdf/2402.02868
Refined Coreset Selection: Towards Minimal Coreset Size under Model Performance
Constraints, ML, https://arxiv.org/pdf/2311.08675
LCA-on-the-Line: Benchmarking Out of Distribution Generalization with Class Taxonomies, ML, https://arxiv.org/pdf/2407.16067
A Mechanistic Understanding of Alignment Algorithms: A Case Study on DPO and
Toxicity, ML, https://arxiv.org/pdf/2401.01967
Challenges in Training PINNs: A Loss Landscape Perspective, ML, https://arxiv.org/pdf/2402.01868
RICE: Breaking Through the Training Bottlenecks of Reinforcement Learning with
Explanation  ML, https://arxiv.org/pdf/2405.03064
Robust CLIP: Unsupervised Adversarial Fine-Tuning of Vision Embeddings for Robust
Large Vision-Language Models, ML, https://arxiv.org/pdf/2402.12336
Sample-specific Masks for Visual Reprogramming-based Prompting, ML, https://arxiv.org/pdf/2406.03150
SAPG: Split and Aggregate Policy Gradients, ML, https://arxiv.org/pdf/2407.20230
Sequential Neural Score Estimation: Likelihood-Free Inference with Conditional Score
Based Diffusion Models, ML, https://arxiv.org/pdf/2210.04872
Stay on Topic with Classifier-Free Guidance, ML, https://arxiv.org/pdf/2306.17806
Stochastic Interpolants with Data-Dependent Couplings, ML, https://arxiv.org/pdf/2310.03725
Test-Time Model Adaptation with Only Forward Passes, ML, https://arxiv.org/pdf/2404.01650
What Will My Model Forget? Forecasting Forgotten Examples in Language Model
Refinement, ML, https://arxiv.org/pdf/2402.01865